4 jours,اربعة ايام
5 jours,خمسة أيام
6 jours,ستة أيام
7 jours,أسبوع واحد
une semaine,أسبوع واحد
2 semaines,أسبوعين
3 semaines,ثلاثة اسابيع
4 semaines,أربعة أسابيع
5 semaines,خمسة اسابيع
6 semaines,ستة أسابيع
an,عام
2,إثنان
3,ثلاثة
4,أربع
5,خمس
6,ست
7,سبع
8,ثمان
9,تسع
10,عَشَر
11,أحَدَ عَشَر
12,إثنا عَشَر
13,ثلاثة عَشَر
14,أربَعة عَشَر
15,خَمْسة عَشَر
16,سِتّة عَشَر
17,سَبْعة عَشَر
18,ثَمانية عَشَر
19,تِسْعة عَشَر
a,قبل
aa,من كل
ac,قبل الأكل
ad.,حتى
ad. lib.,في الإرادة أو في الاختيار
AVC,السكتة الدماغية
appl,تطبيق
AD,الأذن اليمنى
AL,الأذن اليسرى
AM,قبل الظهر
amp,أمبولة
après,بعد
avant,قبل
C°,مئوية
Ca,ورم سرطاني
cac,ملعقة صغيرة
cad,ملعقة صغيرة
cal.,السعرات الحرارية
caps,كبسولة
cas,ملعقة كبيرة
cave,انتباه
cm,كريمة
comp,مركب من
conc,مركز
cp,قرص
cpr,قرص
D,يمين
DCD,ميت
DCI,اسم دولي غير مملوك
ddc,كلا الجانبين
diam,قطر
D.l.,جرعة مميتة
DNR,لا تنعش
Dx,مؤلم
d.s.,الاستغناء
drg,لوز مسكر
D tal dos,إعطاء هذه الجرعات
effervescent,فوار
e.m.p.,حسب الوصفة
ext.,خارجي
fois/jour,مرات/يوم
fois par jour,مرات في اليوم
G.,أيسر
g,غرام
gl,كبسولة
gran,حبيبات
gtte,قطرة
h,ساعة
hemi,نصف
hs,في وقت النوم
ia,داخل الشرايين
ibid,في نفس المكان
i.c.,بين الوجبات
id,داخل الأدمة
i.e.,هذا يعني
im,في العضل
INN,الاسم الدولي غير التجاري
inj,عن طريق الحقن
inv,وريدي
Irr,غير منتظم
LCR,السائل الدماغي الشوكي
lb,رطل
mois,أشهر
KVO,ضخ بطيء للغاية لإبقاء الوريد مفتوحًا
M D S,مزيج / الاستغناء / التسمية
M f,خلط / إعداد
min.,دقيقة
Neo,ورم سرطاني
N R,لا تجدد
NTBR,لا تنعش
o.d.,العين اليمنى
o.l.,العين اليسرى
ot.,بصري
OH,عقيدة
OTC,بدون وصفة طبية
o.u.,كلتا العينين
oz,28.3495g
